"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"76","EUR7379",5,1,2000,"west","cyperus_semitrifidus","T",1,1,5.5,7,0.0129,NA,0.497,0.285333333333333,38.5271317829457,NA,NA,2,0.0258,0.258,0.325,0.273,NA,NA,2,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","EUX2285",5,1,2000,"west","cyperus_semitrifidus","T",1,2,8,8.5,0.0091,0.00285,0.3895,0.448666666666667,42.8021978021978,136.666666666667,0.313186813186813,2,0.0182,0.574,0.351,0.421,NA,NA,2,0.779,2,2,2,2,0.0057,"no",NA,NA,35
"78","EZV0191",5,1,2000,"west","cyperus_semitrifidus","T",3,3,7.8,7,0.0128,NA,0.52,0.272333333333333,40.625,NA,NA,1,0.0128,0.25,0.313,0.254,NA,NA,1,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","EOI0640",5,1,2000,"east","cyperus_semitrifidus","T",1,1,5,12.5,0.03045,NA,1.526,0.253333333333333,50.1149425287356,NA,NA,2,0.0609,0.226,0.276,0.258,NA,NA,2,3.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","EOJ6018",5,1,2000,"east","cyperus_semitrifidus","T",4,1,8,9.5,0.0224,NA,0.789,0.444333333333333,35.2232142857143,NA,NA,1,0.0224,0.395,0.511,0.427,NA,NA,1,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","EQQ2691",6,2,2200,"east","cyperus_semitrifidus","T",1,3,2,16,0.0212,0.0043,0.547,0.526333333333333,25.8018867924528,127.209302325581,0.202830188679245,1,0.0212,0.446,0.49,0.643,NA,NA,1,0.547,1,1,1,1,0.0043,"no",NA,NA,998
"82","DXL0983",6,2,2200,"west","cyperus_semitrifidus","T",1,3,15,13,0.0208,0.0049,0.54,0.421,25.9615384615385,110.204081632653,0.235576923076923,3,0.0624,0.413,0.425,0.425,"aspect not written on envelope. plantID is written as 5.",NA,3,1.62,3,3,3,3,0.0147,"no",NA,NA,1503
"83","DUM0044",6,2,2200,"east","cyperus_semitrifidus","T",4,3,8,13,0.0564,0.0123333333333333,1.19933333333333,0.405666666666667,21.2647754137116,97.2432432432432,0.218676122931442,3,0.1692,0.386,0.414,0.417,NA,NA,3,3.598,3,3,3,3,0.037,"no",NA,NA,1500
"84","EPK0328",6,2,2200,"east","cyperus_semitrifidus","T",1,1,2,8,0.0282,0.0046,0.845,0.329333333333333,29.9645390070922,183.695652173913,0.163120567375887,1,0.0282,0.269,0.368,0.351,NA,NA,1,0.845,1,1,1,1,0.0046,"no",NA,NA,240
"85","EKW2820",5,1,2000,"east","cyperus_sphaerocephalus","T",5,1,5.5,15,0.028,NA,0.874,0.254666666666667,31.2142857142857,NA,NA,1,0.028,0.311,0.263,0.19,NA,NA,1,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA
