"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"67","J_ref66",125,0.0459783494495244,0.000260306170422582,0.288515567037962,0.00327275723701814,1.50900319374987,0.00858483717004547,23.7253341932892,0.0296732573415258,-535.640778656622,0.996567631844686,14.6217692307692
"68","J_ref67",126,0.0507044114909387,0.000260570952915533,0.317361435561373,0.00318911791187102,1.70867713498246,0.00922907947886932,23.1649672370607,0.0207804327921508,-588.499780466666,0.997634048082385,12.31715
"69","J_ref68",127,0.0358421014247707,7.20241827322047e-05,0.200130060116237,0.00163967828846785,2.53055696027206,0.0111225760584617,24.0035476325237,0.0191403596418958,-698.177217190965,0.998444766886388,12.81765
"70","J_ref69",1004,0.015362032390253,0.000409810493675998,0.246966209568365,0.0140744605287961,1.64148456632539,0.0157968535976227,16.9950430385605,0.0721979975559787,-1077.84697443075,0.983853494646812,NA
"71","J_ref70",1006,0.0186058596884256,0.000174969259217684,0.043933178548451,0.00575936415789362,1.61613349554108,0.0222494306989637,15.4353708620448,0.343295785054292,-654.049646176331,0.989357768412368,NA
"72","J_ref71",1014,0.0103974361377182,7.62653914944559e-05,0.092200587328484,0.00530824375595535,2.29658405365413,0.0380965590030834,20.8759567452076,0.0871824016507203,-1074.16291084403,0.971882120502449,11.7204583333333
"73","J_ref72",1019,0.0336727168960071,0.000933896490466219,0.291572870207867,0.00954999520031762,0.993909636790923,0.00779186404392689,17.6275949641746,0.0491857248342921,-1358.08741948101,0.97637717980103,13.084075
"74","J_ref73",1025,0.237776356326041,0.0160998334587544,0.976241156581511,0.0291692960403254,1.64822973197491,0.0194312547230919,16.0506959323559,0.0445839067563986,962.372768440865,0.974516706063469,12.2152333333333
"75","J_ref74",1026,0.384443329531648,0.051414793099933,1.03067788771296,0.0508461126603049,1.2620943400394,0.0444119057008462,16.141831091309,0.0746711414634434,-354.705710052921,0.931470371666393,12.7051
"76","J_ref75",1030,0.0150881998505638,0.000241568864998428,0.598278565609188,0.0111135278758109,2.9062078109449,0.0440474987435052,23.0739779320858,0.0653190558525213,197.708444515413,0.926202585039228,13.1938666666666
"77","J_ref76",1035,0.0208628039444704,0.000110860203944873,0.266867741856452,0.00360264936290019,2.23880339327966,0.050896118111227,26.8670115868485,0.054988220307867,-366.869264334606,0.961581326598683,13.3087666666667
"78","J_ref77",1037,0.0530443288030705,0.00172099151361494,0.470793423459066,0.0120612727917959,0.971622915226254,0.00343243700135362,21.1435057377092,0.0522244876772486,-915.022298465075,0.96687422432106,14.4496666666667
"79","J_ref78",1039,0.0187117802143995,0.000176701363295669,0.152816817626554,0.00505191123166732,1.84862250783957,0.0250351456842101,19.1286374748098,0.0506546777678469,-998.774773008163,0.978305158069653,11.9942
"80","J_ref79",1045,0.0303042855659237,0.000297421357765413,0.0786398062722447,0.00625898419020508,1.62812417534761,0.0169206669548837,17.1355552580758,0.173827861541323,35.2255377611211,0.992157893000117,NA
"81","J_ref80",1052,0.0115332776605416,0.000115334209400713,0.507934446501729,0.00741104677638269,1.91981278421951,0.0266260730899249,26.7130573333541,0.0375382782723184,-1939.24075765166,0.974703492922412,10.7471666666666
"82","J_ref81",1054,0.00895772267337983,7.77655456414629e-05,0.0950768110952118,0.00470823673424901,2.32218731480128,0.0199342018751933,15.7879383467549,0.075229461201008,-2103.64228535898,0.992727633844769,NA
"83","J_ref82",1057,0.0071983143471385,0.000238993104654337,0.359783599996519,0.0239388246900575,2.64004164397213,0.0280768988887483,18.4526557977598,0.0653496106189026,-1842.56375023369,0.982824793833731,NA
"84","J_ref83",1063,0.0225974013300636,0.000421281537319261,0.071425345212159,0.0108253820778687,1.21190672835957,0.0486430743384666,19.5415266923898,0.24495175907081,-319.980349054936,0.951297756496309,NA
